"Dine_In_2019_weekly_pct","confirmed.add_weekly","residential_mob_weekly","Urbanization.rate","WEI"
"1",0.941011207652064,0,-0.142857142857143,0.59,-9.12
"2",0.772120644709082,0,0.714285714285714,0.562,-9.12
"3",0.91562704508797,0.285714285714286,1.14285714285714,0.898,-9.12
"4",0.798988825057801,6.64285714285717,1.28571428571429,0.95,-9.12
"5",0.84800369377659,0.57142857142857,1.42857142857143,0.862,-9.12
"6",0.832882138228784,0,1,0.88,-9.12
"7",0.901812332499967,0,2.14285714285714,1,-9.12
"8",0.836138514904314,0,0.142857142857143,0.833,-9.12
"9",0.86024651520758,0.714285714285715,0.714285714285714,0.912,-9.12
"10",0.856566377543751,0.357142857142857,0.857142857142857,0.751,-9.12
"11",0.881052160854693,0,-0.285714285714286,0.64,-9.12
"12",0.936508857644997,0,0,0.706,-9.12
"13",0.874717780434449,0.428571428571428,0.142857142857143,0.885,-9.12
"14",0.863937266038587,0.142857142857143,0,0.724,-9.12
"15",0.857113515274404,0.0714285714285715,-0.142857142857143,0.742,-9.12
"16",0.917586321428518,0.0714285714285715,0.285714285714286,0.584,-9.12
"17",0.9289970031971,0,0.142857142857143,0.732,-9.12
"18",0.840651036597614,1.57142857142857,2.42857142857143,0.92,-9.12
"19",0.839075014930146,0.357142857142857,0.714285714285714,0.872,-9.12
"20",0.845817024069691,0,1.28571428571429,0.387,-9.12
"21",0.831495780271033,0,0.571428571428571,0.746,-9.12
"22",0.898593707300219,0.0714285714285715,0.571428571428571,0.733,-9.12
"23",0.868989234747901,0.0714285714285715,-0.285714285714286,0.704,-9.12
"24",0.942741155278906,0,0.285714285714286,0.493,-9.12
"25",0.925671598329902,0,0.285714285714286,0.559,-9.12
"26",0.862699722344797,0.142857142857143,0.285714285714286,0.661,-9.12
"27",0.898314509617588,0.0714285714285715,0.285714285714286,0.731,-9.12
"28",0.791132838165082,0.214285714285714,1,0.603,-9.12
"29",0.774192154423943,0.357142857142857,1.14285714285714,0.947,-9.12
"30",0.89956445812886,0,0.428571428571429,0.774,-9.12
"31",0.866790101718997,0.285714285714285,0.857142857142857,0.942,-9.12
"32",0.822948412221592,7.57142857142855,2.42857142857143,0.879,-9.12
"33",0.792918457263814,0,0.285714285714286,0.779,-9.12
"34",0.806860766060357,0.0714285714285715,0.571428571428571,0.662,-9.12
"35",0.902023552104852,1,-0.142857142857143,0.81,-9.12
"36",0.866004739969623,0.428571428571428,0.571428571428571,0.787,-9.12
"37",0.864544892155677,0.214285714285714,1.71428571428571,0.907,-9.12
"38",0.911113761138915,0.142857142857143,-0.285714285714286,0.663,-9.12
"39",0.908602164243546,0.214285714285714,0.571428571428571,0.664,-9.12
"40",0.878292888924727,0.785714285714285,0.571428571428571,0.847,-9.12
"41",0.849050409832667,0.0714285714285715,0.714285714285714,0.906,-9.12
"42",0.898993000018708,0.142857142857143,1.28571428571429,0.755,-9.12
"43",0.902924069520912,0.0714285714285715,1,0.389,-9.12
"44",0.918611641518421,8.64285714285717,1.14285714285714,0.84,-9.12
"45",0.910697934164882,0,0,0.702,-9.12
"46",0.696353190765657,0,0.571428571428571,0.487,-9.12
"47",0.941011207652064,0,6.85714285714286,0.59,-9.12
"48",0.772120644709082,0,5.42857142857143,0.562,-9.12
"49",0.91562704508797,0.285714285714286,9.57142857142857,0.898,-9.12
"50",0.798988825057801,6.64285714285717,11.7142857142857,0.95,-9.12
"51",0.84800369377659,0.57142857142857,7.71428571428571,0.862,-9.12
"52",0.832882138228784,0,9.28571428571428,0.88,-9.12
"53",0.901812332499967,0,16,1,-9.12
"54",0.836138514904314,0,8.57142857142857,0.833,-9.12
"55",0.86024651520758,0.714285714285715,9.42857142857143,0.912,-9.12
"56",0.856566377543751,0.357142857142857,8.85714285714286,0.751,-9.12
"57",0.881052160854693,0,5.28571428571429,0.64,-9.12
"58",0.936508857644997,0,3,0.706,-9.12
"59",0.874717780434449,0.428571428571428,8.28571428571429,0.885,-9.12
